text,label,label_id
Kartana represents the highest DPS grass type attacker in the game despite having very low baseline defensive bulk.,strategy_lore,0
Charizard utilizing Force Palm updates its PvP profile significantly because it generates energy two turns faster than using Counter.,strategy_lore,0
"Look at this tiny little XXS Bidoof I just hatched out of my 2km egg, he is an absolute king and I love him so much.",reaction,2
Mega Venusaur serves as an excellent defensive anchor for grass teams due to its Frenzy Plant speed.,strategy_lore,0
"Primal Groudon provides a damage boost to Ground, Fire, and Grass type attacks while active on the field.",strategy_lore,0
Routes require players to walk between two specific pre-approved wayspots while staying within map boundary ranges.,strategy_lore,0
Finally reached level 50 today! Ten long years of grinding this game has finally come to an end!,reaction,2
Stardust costs for power-ups are artificially inflated to force an unhealthy amount of daily screen time engagement.,hot_take,1
Shadow Tyranitar with Smack Down handles Flying type mega bosses faster than standard rock type alternatives.,strategy_lore,0
Routes are the absolute worst feature ever introduced in mobile gaming history and anybody who actually enjoys using them is a corporate shill.,hot_take,1
LFG!!! Caught the raid boss on my absolute final premier ball throw with an accidental nice marker throw!,reaction,2
The trading distance limit is normally locked to 100 meters except during special trade bonus weekends.,strategy_lore,0
The maximum storage limit for items can be expanded up to a strict maximum using shop upgrades.,strategy_lore,0
Zekrom utilizing Fusion Bolt requires an Elite Charge TM if it was caught outside its debut event window.,strategy_lore,0
Squirtle utilizing Force Palm updates its PvP profile significantly because it generates energy two turns faster than using Counter.,strategy_lore,0
Oh no I accidentally purified my perfect shadow Mewtwo because my phone screen was wet I want to cry.,reaction,2
The new route system keeps telling me I am too far away from the start point when I am standing on it.,reaction,2
Galarian Zapdos can only be encountered via Daily Adventure Incense and carries a 90 percent base flee rate.,strategy_lore,0
Niantic tracks your walking speed via GPS and lowers your egg hatch quality if you walk the same route daily.,hot_take,1
Caterpie utilizing Force Palm updates its PvP profile significantly because it generates energy two turns faster than using Counter.,strategy_lore,0
To trigger the roar of time adventure effect you must spend 5 Dialga candies and 5000 stardust per increment.,strategy_lore,0
Community days have become completely lazy rehashes of common spawns because the developers ran out of actual creative ideas.,hot_take,1
Finally hit best friends with my local raid buddy after trading items every single day for over three months!,reaction,2
Is anyone else seeing absolutely zero spawns on their map right now or are the servers completely broken again?,reaction,2
"Wow, I just caught a random wild shiny Chingling sitting right on my hair! What are the actual odds of that happening?",reaction,2
Are you kidding me? The app crashed right as the raid boss died and it completely ate my premium battle pass. I hate this game.,reaction,2
Gen 9 Pokémon designs look like generic mobile app knockoffs and they completely ruin the classic aesthetic of the original game maps.,hot_take,1
Shiny tracking apps should be completely banned and anyone using local community scanners should have their accounts deleted permanently.,hot_take,1
Wow I completely ran out of Pokéballs right as a rare wild spawn appeared on my screen this sucks.,reaction,2
The new avatar update was a deliberate attempt to lower player satisfaction so they could test how much backlash the community would tolerate.,hot_take,1
Look at this massive collection of shinies I got today! Best community day turnout I have ever had!,reaction,2
Can someone tell me if this shiny shadow alignment is worth keeping or should I just go ahead and purify it for the hundo?,reaction,2
Kakuna utilizing Force Palm updates its PvP profile significantly because it generates energy two turns faster than using Counter.,strategy_lore,0
"When short-manning a Mega Rayquaza raid, your team should focus exclusively on Ice-type attackers like Mamoswine because Rayquaza has a double weakness to Ice.",strategy_lore,0
Can someone please explain how this player already has a max level version of a Pokémon that just came out today?,reaction,2
"Origin Forme Dialga requires the special move Roar of Time to trigger its adventure effect, which pauses the timer on your Incense and Lucky Eggs.",strategy_lore,0
Shiny odds are lowered by 50 percent for anyone who plays more than four hours a day to prevent market oversaturation.,hot_take,1
Shoutout to the random player from Germany who sent me a gift so I could complete my Vivillon medal collections today!,reaction,2
Niantic intentionally bugs the GBL servers during regional tournaments to favor specific high-profile influencer accounts.,hot_take,1
Gengar Mega Energy can be obtained by walking with any Gastly line buddy if you have unlocked the mega entry.,strategy_lore,0
Paid research tickets are an absolute rip-off that prey on completionist players who have severe fear of missing out.,hot_take,1
Xerneas running Geomancy paired with Moonblast stands as a premier fairy type counter against fighting raid bosses.,strategy_lore,0
Shadow Mewtwo outputs roughly 20 percent more psychic damage per second than its regular purified counterpart.,strategy_lore,0
Stunfisk in the Great League runs Mud Shot and Rock Slide to optimize maximum structural type coverage against flyers.,strategy_lore,0
Beedrill utilizing Force Palm updates its PvP profile significantly because it generates energy two turns faster than using Counter.,strategy_lore,0
The master ball was only added to stop community complaints about legendary catch mechanics running completely rampant.,hot_take,1
Fast move sneaking was patched so that your fast attacks register immediately on the correct turn without dropping energy optimization in GBL.,strategy_lore,0
Wartortle utilizing Force Palm updates its PvP profile significantly because it generates energy two turns faster than using Counter.,strategy_lore,0
The ready button in raid lobbies is totally useless and only added to make impatient players feel like they have control.,hot_take,1
OMG!!! After doing 74 separate remote raids I finally got the Shundo Necrozma! I am literally shaking so hard right now!!,reaction,2
OMG!! I just caught a 60% IV Shundo Rayquaza!!!,reaction,2
OMG!! I just caught a 40% IV Shundo Rayquaza!!!,reaction,2
A perfect 15/15/15 level 50 Dragonite tops out at exactly 4287 CP for Master League standard match play.,strategy_lore,0
Feeding a Golden Razz Berry to a gym defender fully restores its motivation meter instantly from any distance.,strategy_lore,0
Team GO Rocket battles are a tedious chore that add zero actual value or fun to the baseline gameplay loop.,hot_take,1
